2021-06-29 23:06:840 INFO  BankManagerLoginPage :22 - Clicking on : [[ChromeDriver: chrome on WINDOWS (a354ab1d0116d9c08b2ae4b9ad5218d2)] -> xpath: //button[contains(text(),'Add Customer')]]
2021-06-29 23:06:967 INFO  AddCustomerPage :32 - Send text Jenna to field : [[ChromeDriver: chrome on WINDOWS (a354ab1d0116d9c08b2ae4b9ad5218d2)] -> xpath: //input[@placeholder='First Name']]
2021-06-29 23:06:63 INFO  AddCustomerPage :37 - Send text Salvator to field : [[ChromeDriver: chrome on WINDOWS (a354ab1d0116d9c08b2ae4b9ad5218d2)] -> xpath: //input[@placeholder='Last Name']]
2021-06-29 23:06:81 INFO  AddCustomerPage :41 - Send text : LE43NJ to field : [[ChromeDriver: chrome on WINDOWS (a354ab1d0116d9c08b2ae4b9ad5218d2)] -> xpath: //input[@placeholder='Post Code']]
2021-06-29 23:06:269 INFO  AddCustomerPage :47 - Clicking on : [[ChromeDriver: chrome on WINDOWS (a354ab1d0116d9c08b2ae4b9ad5218d2)] -> css selector: button.btn.btn-default]
2021-06-29 23:06:439 INFO  BankManagerLoginPage :27 - Clicking on : [[ChromeDriver: chrome on WINDOWS (a354ab1d0116d9c08b2ae4b9ad5218d2)] -> xpath: //button[contains(text(),'Open Account')]]
2021-06-29 23:06:739 INFO  OpenAccountPage :26 - Clicking on [[ChromeDriver: chrome on WINDOWS (a354ab1d0116d9c08b2ae4b9ad5218d2)] -> xpath: //select[@id='userSelect']]
2021-06-29 23:06:883 INFO  OpenAccountPage :31 - Select previous customer from : [[ChromeDriver: chrome on WINDOWS (a354ab1d0116d9c08b2ae4b9ad5218d2)] -> xpath: //select[@id='userSelect']]
2021-06-29 23:06:979 INFO  OpenAccountPage :37 - Clicking on : [[ChromeDriver: chrome on WINDOWS (a354ab1d0116d9c08b2ae4b9ad5218d2)] -> xpath: //select[@id='currency']]
2021-06-29 23:06:121 INFO  OpenAccountPage :42 - Select currency from : [[ChromeDriver: chrome on WINDOWS (a354ab1d0116d9c08b2ae4b9ad5218d2)] -> xpath: //select[@id='currency']]
2021-06-29 23:06:82 INFO  BasePage :31 - Launching Chrome Browser 
2021-06-29 23:06:712 INFO  HomePage :22 - Clicking on : [[ChromeDriver: chrome on WINDOWS (012b754c8ce122881e961f729f4fbdf3)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-29 23:06:82 INFO  BankManagerLoginPage :22 - Clicking on : [[ChromeDriver: chrome on WINDOWS (012b754c8ce122881e961f729f4fbdf3)] -> xpath: //button[contains(text(),'Add Customer')]]
2021-06-29 23:06:192 INFO  AddCustomerPage :32 - Send text Jenna to field : [[ChromeDriver: chrome on WINDOWS (012b754c8ce122881e961f729f4fbdf3)] -> xpath: //input[@placeholder='First Name']]
